City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chibougamau,49.9168,-74.3659,60.42,72,0,3.44,CA,1686634088
1,kuala belait,4.5833,114.1833,89.76,62,38,7.67,BN,1686634089
2,kralendijk,12.15,-68.2667,82.38,83,20,16.11,BQ,1686634090
3,ararangua,-28.9347,-49.4858,46.54,81,92,6.69,BR,1686634091
4,prado,-17.3411,-39.2208,72.0,92,1,5.28,BR,1686634092
5,nizhnesortymskiy,62.4397,71.7603,50.25,44,24,13.0,RU,1686634094
6,al jawf,29.5,38.75,78.57,30,0,0.34,SA,1686634095
7,jijiga,9.35,42.8,66.29,79,92,12.28,ET,1686634096
8,ginir,7.1333,40.7,63.28,73,87,3.89,ET,1686634097
9,tam ky,15.5667,108.4833,92.44,50,100,6.44,VN,1686634098
10,talitsa,56.8804,60.0213,57.74,37,0,5.03,RU,1686634100
11,adrar,20.5022,-10.0711,80.13,22,38,12.71,MR,1686634101
12,lazarevskoye,43.9061,39.3331,69.49,89,100,0.69,RU,1686634102
13,mahdia,35.5047,11.0622,69.75,67,100,3.98,TN,1686634103
14,mount isa,-20.7333,139.5,85.77,17,14,8.05,AU,1686634104
15,korsakov,46.6328,142.7813,62.44,84,95,7.74,RU,1686634106
16,lycksele,64.5954,18.6735,60.67,59,0,10.36,SE,1686634107
17,aglona,56.1333,27.0167,58.55,57,28,6.64,LV,1686634108
18,gizo,-8.103,156.8419,83.91,76,14,9.91,SB,1686634109
19,biltine,14.5333,20.9167,81.88,59,82,11.23,TD,1686634110
20,hithadhoo,-0.6,73.0833,83.89,70,65,6.53,MV,1686634111
21,tongren,27.7172,109.1853,84.29,59,66,2.46,CN,1686634115
22,igarka,67.4667,86.5833,46.18,77,76,14.14,RU,1686634116
23,burang,30.25,81.1667,53.19,54,40,4.68,CN,1686634118
24,brookings,44.3114,-96.7984,62.06,66,75,4.61,US,1686634011
25,obudu,6.6674,9.1716,72.32,96,100,2.28,NG,1686634120
26,yantarnyy,54.8717,19.9381,60.75,72,96,10.33,RU,1686634121
27,halberstadt,51.9,11.05,64.67,69,0,1.41,DE,1686634122
28,uturoa,-16.7333,-151.4333,80.78,75,25,19.57,PF,1686634123
29,karasburg,-28.0167,18.75,40.28,88,0,5.77,NA,1686634125
30,dila,6.4167,38.3167,65.25,85,31,0.51,ET,1686634126
31,taro,-8.3862,115.28,77.0,64,68,4.85,ID,1686634127
32,usogorsk,63.4106,48.6872,67.19,48,89,11.21,RU,1686634128
33,guardo,42.7897,-4.8482,50.65,90,95,2.48,ES,1686634129
34,qarazhal,48.0078,70.7903,82.22,20,7,13.51,KZ,1686634131
35,bafq,31.6128,55.4107,92.86,15,4,3.13,IR,1686634132
36,goz beida,13.95,20.55,80.38,59,74,10.67,TD,1686633978
37,mumford,5.2618,-0.759,75.94,74,71,7.27,GH,1686634134
38,tomohon,1.3346,124.8392,76.14,89,99,0.92,ID,1686634135
39,parabel',58.6978,81.4825,50.63,54,68,9.73,RU,1686634136
40,lucea,18.451,-78.1736,80.46,76,5,3.06,JM,1686634138
41,tazovsky,67.4667,78.7,36.84,81,99,17.98,RU,1686634139
42,kristiansund,63.1115,7.732,57.25,71,75,0.0,NO,1686634140
43,saint-pierre,-21.3393,55.4781,80.56,69,20,3.44,RE,1686634141
44,belabo,4.9333,13.3,66.96,100,87,1.92,CM,1686634142
45,okola,4.0167,11.3833,68.74,98,100,2.73,CM,1686634144
46,nikolayevsk-on-amure,53.1406,140.73,63.25,57,63,8.21,RU,1686634145
47,cockburn town,21.4612,-71.1419,82.09,84,8,23.15,TC,1686634146
48,lata,40.1629,-8.3327,63.07,97,99,4.59,PT,1686634147
49,salekhard,66.53,66.6019,53.08,41,95,10.45,RU,1686634148
50,ladybrand,-29.1945,27.4574,33.01,91,5,3.24,ZA,1686634149
51,aegina,37.7467,23.4275,75.7,70,55,7.9,GR,1686634152
52,rubizhne,49.0123,38.3797,58.91,76,22,9.62,UA,1686634154
53,katsuura,35.1333,140.3,74.44,82,91,7.49,JP,1686634155
54,axim,4.8699,-2.2405,76.87,71,83,4.7,GH,1686634156
55,tefe,-3.3542,-64.7114,77.56,85,100,2.55,BR,1686634158
56,rampur,28.8167,79.0333,105.91,20,0,10.78,IN,1686634160
57,timbuktu,16.7735,-3.0074,85.17,50,40,9.95,ML,1686634161
58,bairnsdale,-37.8333,147.6167,61.41,53,96,5.08,AU,1686634162
59,huarmey,-10.0681,-78.1522,69.03,82,20,11.97,PE,1686634164
60,yuzhno-kurilsk,44.0306,145.8556,52.47,96,100,8.46,RU,1686634165
61,inari,68.906,27.0288,53.8,58,43,13.0,FI,1686634166
